"orig","new"
"MAY: ACT # SIMPLE ASSLT","simp.tot5"
"JUN: ACT # SIMPLE ASSLT","simp.tot6"
"JUL: ACT # SIMPLE ASSLT","simp.tot7"
"AUG: ACT # SIMPLE ASSLT","simp.tot8"
"SEP: ACT # SIMPLE ASSLT","simp.tot9"
"OCT: ACT # SIMPLE ASSLT","simp.tot10"
"NOV: ACT # SIMPLE ASSLT","simp.tot11"
"DEC: ACT # SIMPLE ASSLT","simp.tot12"
"JAN: ACT # BURGLARY TOTL","burg.tot1"
"FEB: ACT # BURGLARY TOTL","burg.tot2"
"MAR: ACT # BURGLARY TOTL","burg.tot3"
"APR: ACT # BURGLARY TOTL","burg.tot4"
"MAY: ACT # BURGLARY TOTL","burg.tot5"
"JUN: ACT # BURGLARY TOTL","burg.tot6"
"JUL: ACT # BURGLARY TOTL","burg.tot7"
"AUG: ACT # BURGLARY TOTL","burg.tot8"
"SEP: ACT # BURGLARY TOT","burg.tot9"
"OCT: ACT # BURGLARY TOT","burg.tot10"
"NOV: ACT # BURGLARY TOT","burg.tot11"
"DEC: ACT # BURGLARY TOT","burg.tot12"
"JAN: ACT # LARCENY TOTAL","larc.tot1"
"FEB: ACT # LARCENY TOTAL","larc.tot2"
"MAR: ACT # LARCENY TOTAL","larc.tot3"
"APR: ACT # LARCENY TOTAL","larc.tot4"
"MAY: ACT # LARCENY TOTAL","larc.tot5"
"JUN: ACT # LARCENY TOTAL","larc.tot6"
"JUL: ACT # LARCENY TOTAL","larc.tot7"
"AUG: ACT # LARCENY TOTAL","larc.tot8"
"SEP: ACT # LARCENY TOTA","larc.tot9"
"OCT: ACT # LARCENY TOTA","larc.tot10"
"NOV: ACT # LARCENY TOTA","larc.tot11"
"DEC: ACT # LARCENY TOTA","larc.tot12"
"JAN: ACT # VHC THEFT TOT","vhct.tot1"
"FEB: ACT # VHC THEFT TOT","vhct.tot2"
"MAR: ACT # VHC THEFT TOT","vhct.tot3"
"APR: ACT # VHC THEFT TOT","vhct.tot4"
"MAY: ACT # VHC THEFT TOT","vhct.tot5"
"JUN: ACT # VHC THEFT TOT","vhct.tot6"
"JUL: ACT # VHC THEFT TOT","vhct.tot7"
"AUG: ACT # VHC THEFT TOT","vhct.tot8"
"SEP: ACT # VHC THEFT TO","vhct.tot9"
"OCT: ACT # VHC THEFT TO","vhct.tot10"
"NOV: ACT # VHC THEFT TO","vhct.tot11"
"DEC: ACT # VHC THEFT TO","vhct.tot12"
"tot_arson1","arso.tot1"
"tot_arson2","arso.tot2"
"tot_arson3","arso.tot3"
"tot_arson4","arso.tot4"
"tot_arson5","arso.tot5"
"tot_arson6","arso.tot6"
"tot_arson7","arso.tot7"
"tot_arson8","arso.tot8"
"tot_arson9","arso.tot9"
"tot_arson10","arso.tot10"
"tot_arson11","arso.tot11"
"tot_arson12","arso.tot12"
"JAN: TOT CLR MURDER","murd.clr1"
"FEB: TOT CLR MURDER","murd.clr2"
"MAR: TOT CLR MURDER","murd.clr3"
"APR: TOT CLR MURDER","murd.clr4"
"MAY: TOT CLR MURDER","murd.clr5"
"JUN: TOT CLR MURDER","murd.clr6"
"JUL: TOT CLR MURDER","murd.clr7"
"AUG: TOT CLR MURDER","murd.clr8"
"SEP: TOT CLR MURDER","murd.clr9"
"OCT: TOT CLR MURDER","murd.clr10"
"NOV: TOT CLR MURDER","murd.clr11"
"DEC: TOT CLR MURDER","murd.clr12"
"JAN: TOT CLR MANSLGHTR","mans.clr1"
"FEB: TOT CLR MANSLGHTR","mans.clr2"
"MAR: TOT CLR MANSLGHTR","mans.clr3"
"APR: TOT CLR MANSLGHTR","mans.clr4"
"MAY: TOT CLR MANSLGHTR","mans.clr5"
"JUN: TOT CLR MANSLGHTR","mans.clr6"
"JUL: TOT CLR MANSLGHTR","mans.clr7"
"AUG: TOT CLR MANSLGHTR","mans.clr8"
"SEP: TOT CLR MANSLGHTR","mans.clr9"
"OCT: TOT CLR MANSLGHTR","mans.clr10"
"NOV: TOT CLR MANSLGHTR","mans.clr11"
"DEC: TOT CLR MANSLGHTR","mans.clr12"
"JAN: TOT CLR RAPE TOTAL","rape.clr1"
"FEB: TOT CLR RAPE TOTAL","rape.clr2"
"MAR: TOT CLR RAPE TOTAL","rape.clr3"
"APR: TOT CLR RAPE TOTAL","rape.clr4"
"MAY: TOT CLR RAPE TOTAL","rape.clr5"
"JUN: TOT CLR RAPE TOTAL","rape.clr6"
"JUL: TOT CLR RAPE TOTAL","rape.clr7"
"AUG: TOT CLR RAPE TOTAL","rape.clr8"
"SEP: TOT CLR RAPE TOTAL","rape.clr9"
"OCT: TOT CLR RAPE TOTAL","rape.clr10"
"NOV: TOT CLR RAPE TOTAL","rape.clr11"
"DEC: TOT CLR RAPE TOTAL","rape.clr12"
"JAN: TOT CLR TOTL ROBERY","robb.clr1"
"FEB: TOT CLR TOTL ROBERY","robb.clr2"
"MAR: TOT CLR TOTL ROBERY","robb.clr3"
"APR: TOT CLR TOTL ROBERY","robb.clr4"
"MAY: TOT CLR TOTL ROBERY","robb.clr5"
"JUN: TOT CLR TOTL ROBERY","robb.clr6"
"JUL: TOT CLR TOTL ROBERY","robb.clr7"
"AUG: TOT CLR TOTL ROBERY","robb.clr8"
"SEP: TOT CLR TOTL ROBER","robb.clr9"
"OCT: TOT CLR TOTL ROBER","robb.clr10"
"NOV: TOT CLR TOTL ROBER","robb.clr11"
"DEC: TOT CLR TOTL ROBER","robb.clr12"
"JAN: TOT CLR ASSLT TOTAL","assa.clr1"
"FEB: TOT CLR ASSLT TOTAL","assa.clr2"
"MAR: TOT CLR ASSLT TOTAL","assa.clr3"
"APR: TOT CLR ASSLT TOTAL","assa.clr4"
"MAY: TOT CLR ASSLT TOTAL","assa.clr5"
"JUN: TOT CLR ASSLT TOTAL","assa.clr6"
"JUL: TOT CLR ASSLT TOTAL","assa.clr7"
"AUG: TOT CLR ASSLT TOTAL","assa.clr8"
"SEP: TOT CLR ASSLT TOTA","assa.clr9"
"OCT: TOT CLR ASSLT TOTA","assa.clr10"
"NOV: TOT CLR ASSLT TOTA","assa.clr11"
"DEC: TOT CLR ASSLT TOTA","assa.clr12"
"JAN: TOT CLR SIMPLE ASLT","simp.clr1"
"FEB: TOT CLR SIMPLE ASLT","simp.clr2"
"MAR: TOT CLR SIMPLE ASLT","simp.clr3"
"APR: TOT CLR SIMPLE ASLT","simp.clr4"
"MAY: TOT CLR SIMPLE ASLT","simp.clr5"
"JUN: TOT CLR SIMPLE ASLT","simp.clr6"
"JUL: TOT CLR SIMPLE ASLT","simp.clr7"
"AUG: TOT CLR SIMPLE ASLT","simp.clr8"
"SEP: TOT CLR SIMPLE ASL","simp.clr9"
"OCT: TOT CLR SIMPLE ASL","simp.clr10"
"NOV: TOT CLR SIMPLE ASL","simp.clr11"
"DEC: TOT CLR SIMPLE ASL","simp.clr12"
"JAN: TOT CLR BRGLRY TOTL","burg.clr1"
"FEB: TOT CLR BRGLRY TOTL","burg.clr2"
"MAR: TOT CLR BRGLRY TOTL","burg.clr3"
"APR: TOT CLR BRGLRY TOTL","burg.clr4"
"MAY: TOT CLR BRGLRY TOTL","burg.clr5"
"JUN: TOT CLR BRGLRY TOTL","burg.clr6"
"JUL: TOT CLR BRGLRY TOTL","burg.clr7"
"AUG: TOT CLR BRGLRY TOTL","burg.clr8"
"SEP: TOT CLR BRGLRY TOT","burg.clr9"
"OCT: TOT CLR BRGLRY TOT","burg.clr10"
"NOV: TOT CLR BRGLRY TOT","burg.clr11"
"DEC: TOT CLR BRGLRY TOT","burg.clr12"
"JAN: TOT CLR LARCNY TOTL","larc.clr1"
"FEB: TOT CLR LARCNY TOTL","larc.clr2"
"MAR: TOT CLR LARCNY TOTL","larc.clr3"
"APR: TOT CLR LARCNY TOTL","larc.clr4"
"MAY: TOT CLR LARCNY TOTL","larc.clr5"
"JUN: TOT CLR LARCNY TOTL","larc.clr6"
"JUL: TOT CLR LARCNY TOTL","larc.clr7"
"AUG: TOT CLR LARCNY TOTL","larc.clr8"
"SEP: TOT CLR LARCNY TOT","larc.clr9"
"OCT: TOT CLR LARCNY TOT","larc.clr10"
"NOV: TOT CLR LARCNY TOT","larc.clr11"
"DEC: TOT CLR LARCNY TOT","larc.clr12"
"JAN:TOT CLR VHC THFT TOT","vhct.clr1"
"FEB:TOT CLR VHC THFT TOT","vhct.clr2"
"MAR:TOT CLR VHC THFT TOT","vhct.clr3"
